team_id,school_name,city,state,league
1,Bethel University,Mishawaka,Indiana,Crossroads League
2,Goshen College,Goshen,Indiana,Crossroads League
3,Grace College & Seminary,Winona Lake,Indiana,Crossroads League
4,Huntington University,Huntington,Indiana,Crossroads League
5,Indiana Wesleyan University,Marion,Indiana,Crossroads League
6,Marian University,Indianapolis,Indiana,Crossroads League
7,Mount Vernon Nazarene University,Mount Vernon,Ohio,Crossroads League
8,University of Saint Francis,Fort Wayne,Indiana,Crossroads League
9,Spring Arbor University,Spring Arbor,Michigan,Crossroads League
10,Taylor University,Upland,Indiana,Crossroads League
11,Aquinas College,Grand Rapids,Michigan,WHAC
12,Cornerstone University,Grand Rapids,Michigan,WHAC
13,Lawrence Technological University,Southfield,Michigan,WHAC
14,Madonna University,Livonia,Michigan,WHAC
15,Rochester Christian University,Rochester Hills,Michigan,WHAC
16,Siena Heights University,Adrian,Michigan,WHAC
17,University of Michigan–Dearborn,Dearborn,Michigan,WHAC
18,Lourdes University,Sylvania,Ohio,WHAC
19,Arizona Christian University,Glendale,Arizona,Great Southwest Athletic Conference
20,Hope International University,Fullerton,California,Great Southwest Athletic Conference
21,La Sierra University,Riverside,California,Great Southwest Athletic Conference
22,Life Pacific University,San Dimas,California,Great Southwest Athletic Conference
23,Ottawa University Arizona,Phoenix,Arizona,Great Southwest Athletic Conference
25,The Master's University,Santa Clarita,California,Great Southwest Athletic Conference
26,Embry-Riddle Aeronautical University,Prescott,Arizona,Great Southwest Athletic Conference
27,Benedictine University at Mesa,Mesa,Arizona,Great Southwest Athletic Conference
28,Park University Gilbert,Gilbert,Arizona,Great Southwest Athletic Conference
